CompetencyID,Category,Text,ReferenceCode,What this means,What it looks like,Why critical
DSWP07,Demonstrate Safe Work Practices,Knife and chipper safety (access and replacement of components). ,,,,
QC01,Quality Control,Explain proper tools to use for saw measurement ,"• Measuring Tool Use and Selection
BC Saw Filer Level 1, Section 3-2-1
• Precision Tool Care and Inspection
BC Saw Filer Level 1, Sections 3-2-2 to 3-2-3","Precision measurement is foundational to every step of the saw filing process. You are expected to understand which tool to use for each type of measurement—whether checking plate thickness, saw flatness, tension ring placement, or gullet geometry. Each tool must be suited to the job, properly maintained, and handled with care to produce consistent, reliable readings.
The ability to select the correct measuring tool—and know its limitations—ensures accuracy in leveling, tensioning, grinding, and inspection.","• You select and use the following tools for specific saw measurements:
•	Straightedge: to detect saw dish or twist during benching
•	Tension gauge: to measure drop inside and outside of tension ring
•	Back gauge: to evaluate tension shape and concentricity along the back
•	Feeler gauges: to assess side clearance or knife-to-anvil spacing
•	Micrometer or calipers: to verify plate thickness and saw body consistency
•	Dial indicator: to measure runout, collar wobble, or arbor alignment
• You inspect your tools before use:
•	Ensure tools are clean and dry
•	Confirm zero setting on gauges and micrometers
•	Check for bent edges, cracked faces, or debris in tool joints
• You handle tools properly:
•	Place precision instruments only on clean, stable surfaces
•	Store them in protective cases after each use
•	Never mix layout or impact tools (e.g., files or hammers) with precision gauges","Incorrect or poorly chosen measurement tools lead to: • Misaligned saw tension zones • Improper lead or dish corrections • Cracked saws caused by hidden stress or deformation • Out-of-spec lumber and unplanned downtime
Saw filers are judged not just by their hammer work—but by the accuracy of their setup and inspections. If your measuring tools aren’t correct, every adjustment you make could be wrong.
"
QC02,Quality Control,Demonstrate correct measuring techniques ,"• Measuring and Inspection Technique
BC Saw Filer Level 1, Section 3-2-2
• Tool Handling Best Practices
BC Saw Filer Level 1, Section 3-2-3","🔧 What this means:
Knowing which tool to use is only part of the job—a saw filer must also demonstrate precise technique when using any measuring instrument. This includes proper hand positioning, consistent pressure, correct angle of application, and an understanding of when environmental conditions (like heat, oil, or light) might skew results.
Measuring technique is about repeatability and accuracy. Every cut, grind, or tensioning step that follows a measurement is only as good as the technique used to obtain it.","• You take time to ensure surfaces are clean and free of oil, pitch, or burrs before measuring.
• You use a straightedge by:
•	Holding it perpendicular to the saw plate
•	Backlighting with proper angle and contrast to detect rise or dish
•	Confirming against a calibrated reference before use
• When using a micrometer or caliper, you:
•	Set zero against a known reference block
•	Apply consistent, light pressure to avoid deforming thin saw steel
•	Measure multiple points on the saw (e.g., near collar line, mid-body, and tension ring)
• When using a dial indicator or tension gauge, you:
•	Ensure proper tool seating and no side loading
•	Zero the dial before starting
•	Record readings methodically across the plate to assess symmetry
• You log or report all measurements clearly and accurately:
•	No rounding of tension drop values
•	Dish readings (e.g., “0.002” concave”) must reflect maximum observed variation
• You maintain focus, especially when repeating a task multiple times (e.g., checking the third bandsaw of the shift):
•	You inspect each tooth, gullet, or zone individually—without assumptions","Improper measuring technique leads to improper saw performance. Even if the tool is accurate, poor technique results in: • Incorrect tension or leveling corrections • Faulty grind angles that damage tooth strength • Misaligned saws leading to gullet cracking or vibration • Untraceable dimensional errors in the lumber
Saw shops that maintain high standards of measurement:
•	Prevent injuries from cracked or failed saws
•	Deliver higher lumber recovery rates
•	Build confidence across shift teams and mill supervisors
You are expected to treat each reading as a precision action, not a guess."
QC03,Quality Control,Demonstrate proper utilization of equipment ,"• Grinder and Tool Safety
BC Saw Filer Level 1, Sections 2-1-10 to 2-1-12
• Lockout and Equipment Inspection
BC Saw Filer Level 1, Section 2-1-8
• Measuring and Testing Setup
BC Saw Filer Level 1, Sections 3-2-1 to 3-2-3","Utilizing shop equipment correctly is a core part of your responsibility as a saw filer. It’s not enough to simply operate a grinder, tension gauge, or measuring stand—you must demonstrate that you understand machine compatibility, setup requirements, and safety limitations.
Proper utilization means using machines within their specifications, performing routine checks before use, and following lockout procedures when necessary. This applies to all measuring, tensioning, and grinding equipment used in saw inspection and setup.","• You confirm that all equipment is clean, functional, and calibrated before use:
•	Grinder wheels are trued, balanced, and suitable for material (e.g., vitrified vs. CBN)
•	Dial indicators and gauges are zeroed and seated properly
•	Straightedges are free from warping or nicks
• Before using powered tools or grinders, you:
•	Verify the RPM rating on grinding wheels matches the machine (e.g., max wheel speed < grinder speed)
•	Confirm guards, shields, and splash hoods are in place and secure
•	Conduct a visual and tactile inspection for:
o	Vibration or bearing play
o	Loose mounts or shifting guides
o	Cracks in wheels, arbors, or safety shields
• You follow proper lockout/tagout when servicing or adjusting equipment:
•	Use your personal lock
•	Test for zero energy before beginning
•	Confirm all moving components are secured before resuming operation
• You ensure precision tools are used with compatible fixtures:
•	Back gauges sit flush and square on the plate
•	Indicators are mounted to stable bases, not handheld or makeshift jigs
• You report or tag out any machine that:
•	Vibrates excessively
•	Produces irregular finishes
•	Shows signs of mechanical wear or electrical failure","Incorrect use of shop equipment can result in: • Grinder explosions or wheel fragmentation • Undetected tension or runout due to unstable measuring setups • Collapsed bearings or arbor failures in circular saws • Cuts, burns, or caught-hand injuries from bypassed guards
Proper machine utilization is non-negotiable. It ensures:
•	Repeatable tension and leveling results
•	Accurate tooth and plate geometry
•	A safe working environment for you and your crew"
QC04,Quality Control,Properly store and maintain equipment and tools ,"• Tool Storage and Handling
BC Saw Filer Level 1, Sections 2-1-9 to 2-1-11
• Precision Tool Maintenance
BC Saw Filer Level 1, Section 3-2-2","Precision tools must be protected from contamination, mechanical shock, and moisture. Proper storage and maintenance ensures your instruments remain accurate and safe, and helps prevent accidental injuries or calibration drift.
As a filer, you’re expected to store and maintain everything from micrometers and back gauges to grinding wheels, hammers, and dial indicators in a clean, organized, and well-documented manner.","• You return all tools to their assigned storage after each task:
•	Micrometers and calipers go in foam-lined, sealed cases
•	Files are stored in sleeves or dividers—never mixed with hammers or layout tools
•	Knives are stored with edges protected, using trays or guards
• You perform routine maintenance:
•	Lightly oil exposed steel surfaces on back gauges, indicators, and feeler blades
•	Clean threads on micrometers and dial stems using a soft brush
•	Dress and balance grinding wheels regularly and inspect for cracks or glazing
• You never drop, force, or jam tools into drawers or bins
• You inspect tool condition before and after each use:
•	Straightedges checked for dents or edge burrs
•	Calipers verified for zero reset
•	Handles, tool heads, and dials confirmed secure and intact
• You tag out any tool that gives inconsistent readings, won’t zero, or shows mechanical damage","❗ Why this is critical:
Improper tool care leads to: • Inaccurate saw setup and failed inspections
• Tool failure or unsafe operation (e.g., wheel shatter, micrometer jamming)
• Increased wear on saw blades from misread tolerances
• Injuries caused by exposed sharp edges or dropped heavy tools
Clean, well-maintained tools = clean, high-performing saws. Your habits with tool care directly reflect your commitment to safety, accuracy, and professionalism."
QC05,Quality Control,"Understand, explain and set clearances ","• Knife-to-Anvil Clearance & Adjustments
BC Saw Filer Level 1, Sections 8-1-7 to 8-1-9
• Saw Side Clearance and Setup
BC Saw Filer Level 1, Section 4-8-1
• Kerf and Clearance Calculations
BC Saw Filer Level 1, Section 4-8-2","Clearance refers to the precise space between the cutting tooth or knife and surrounding elements such as the workpiece, anvil, or guide. Setting the correct clearance ensures:
•        Free chip flow
•        Reduced heat and friction
•        Accurate cutting performance
•        Saw longevity and safety
As a filer, you must understand clearance standards across band saws, circular saws, and chippers—and be able to explain how clearance values change with species, saw gauge, and cutting conditions (e.g., frozen vs. green wood).
","• For chipper knives:
•	You measure knife-to-anvil clearance using a feeler gauge
•	The target range is typically 0.030""–0.060"", depending on machine and wood species
•	You adjust knife projection by changing shim thickness or backing screws, ensuring consistency across all knives
• For saws:
•	You calculate total kerf (cut width) using the formula:
Kerf = plate thickness + (2 × side clearance)
•	You verify side clearance with a micrometer or feeler gauge at the tooth tip
•	You confirm that clearance is symmetrical (left and right) and within spec for the saw's design
• During saw service or reshaping:
•	You apply swaging or tipping to restore proper kerf and clearance
•	You shape teeth to maintain radial and tangential clearance, especially in swaged bands
• You consult mill specifications or species-specific guidelines to select correct clearance values based on:
•	Wood density (e.g., hardwood vs. softwood)
•	Moisture content (e.g., frozen or kiln-dried stock)
•	Desired lumber finish","Improper clearance is one of the most common causes of: • Overheating and saw wander
• Gullet cracking or plate distortion
• Jammed chippers and miscut lumber
• Guide wear and excessive strain on bearings
Too little clearance causes burning, stalling, and guide damage. Too much causes poor tracking, vibration, and reduced tooth life. Mastery of clearance principles prevents these failures and supports smooth mill operation."
QC06,Quality Control,Perform calculations to achieve targeted lumber sizes ,"• Kerf, Bite, and Rim Speed Calculations
BC Saw Filer Level 1, Section 4-8-1 to 4-8-2
• Application of Feed and Speed Data
BC Saw Filer Level 1, Section 3-1-18","Filers play a key role in ensuring that saws produce accurate lumber sizes. This involves understanding and applying formulas related to tooth bite, rim speed, kerf, and feed speed. You must be able to calculate values that affect chip formation, saw loading, and final lumber dimensions—and verify that these are within acceptable production tolerances.
Your calculations inform machine setup and help identify performance issues during operation.","• You use key formulas such as:
Tooth Bite = Feed Speed (FPM) ÷ (RPM × Number of Teeth)
•	Used to determine feed per tooth (ideal chip size)
Tooth Pitch = (Saw Diameter × π) ÷ Number of Teeth
•	Used to calculate spacing and support gullets
Rim Speed = (Saw Diameter × π × RPM) ÷ 12
•	Used to ensure correct cutting speed for material type
• You verify calculations by:
•	Matching feed rate to wood species and chipper spec
•	Adjusting RPM or number of teeth to maintain correct bite
•	Tracking chip formation and comparing it to target dimensions
• You interpret the results:
•	If tooth bite is too small → saw overloads or rubs
•	If too large → poor finish, broken teeth, or gullet cracking
•	If kerf does not match machine feed → off-size lumber or tracking problems
• You input these values into your mill documentation, setup forms, or shift logs to guide adjustments and maintain traceability","Failure to calculate feed and bite properly results in: • Undersized or oversize lumber
• Reduced recovery and mill yield
• Excessive strain on saws, motors, and chip systems
• Incorrect troubleshooting when performance issues arise
By performing accurate calculations, you help maintain:
•	Optimal feed rates
•	Accurate lumber sizes
•	Efficient saw loading and chip removal
•	Long-lasting saw performance and safety"
QC07,Quality Control,Explain and demonstrate understanding and application of torque ,"• Torque Application in Saw Setup
BC Saw Filer Level 1, Section 9-1-2
• Fastening Techniques and Safety
BC Saw Filer Level 1, Section 2-1-10","Torque refers to the amount of rotational force applied to bolts, nuts, and fasteners—especially critical when securing saws to arbors, collars, or chipper components. Applying the correct torque ensures tight, even clamping pressure without over-stressing components. You are expected to know:
•	What torque values are required for each fastening task
•	How to apply torque using appropriate tools (e.g., torque wrench or beam-style driver)
•	How torque interacts with component materials, lubricants, and thermal cycling","• You determine the required torque for a specific application by referencing:
•	Manufacturer’s spec sheets for arbors, collars, or insert teeth
•	Mill-standard torque charts based on thread size and grade
• You use a calibrated torque wrench with the appropriate drive size and socket
• You follow correct torqueing sequence:
•	For circular saw collars, apply torque in a crisscross pattern to prevent warping
•	For insert tooth saws, torque each insert or fastener to its recommended ft-lbs
• You inspect all threads and contact surfaces before torqueing:
•	Remove debris and oil unless lubrication is required
•	Ensure seating surfaces are flat and burr-free
• You re-check torque after thermal cycling (for example, after the saw runs hot then cools)
• You never estimate by hand or guess at torque—especially for structural fasteners","Over-torquing causes: • Cracked collars or warped saw plates
• Bolt stretch, fatigue, and eventual failure
Under-torquing causes: • Collar slippage
• Misaligned saws
• Tooth ejection in insert systems
• Unsafe saw installations that can fail under RPM
Understanding torque ensures mechanical integrity, safety, and precise performance from every saw you install."
QC08,Quality Control,Understand saw standards and specifications ,"• Saw Inspection Standards
BC Saw Filer Level 1, Sections 9-1-1 to 9-1-2
• Crack Limits and Rejection Criteria
BC Saw Filer Level 1, Section 2-2-1
• Tension and Back Specifications
BC Saw Filer Level 1, Section 3-2-1","Every saw must meet defined standards for dimensions, tolerances, materials, and safety criteria. You are expected to:
•	Interpret spec sheets
•	Verify saw condition against known tolerances
•	Explain why certain specifications (e.g. runout, tension ring diameter, side clearance) matter
This applies to bandsaws, circular saws, and chipper knives. Before any saw is placed into service, it must be confirmed to meet or exceed its specification for safe, accurate operation.","• When receiving a saw (new or resharpened), you verify:
•	Plate thickness and kerf match required size for the cut line
•	Tooth geometry is consistent and suitable for the wood type
•	Tension ring is located correctly for saw diameter and RPM range
•	Back straightness is within 0.002"" over 36"", using certified straightedge
•	Runout at eye and rim is within allowable tolerance (typically <0.006"")
• You reference industry or mill-standard specs for:
•	Side clearance values
•	Lead and tension values
•	Minimum radius for cracks or weld locations
• You reject or tag out any saw that:
•	Exceeds crack limits (e.g., 1.5” in collar zone on 24–36” saws)
•	Has eye elongation that prevents secure arbor fit
•	Fails dish or back straightness tests
• You document specs in service logs, tagging sheets, or shift reports","A saw that does not meet spec can: • Fail under speed due to incorrect tension or collar fit
• Produce off-size or warped lumber
• Introduce dangerous vibration or breakage
• Waste time, damage mill equipment, or cause injury
Your understanding of saw specs ensures every blade put into production is safe, stable, and fit for purpose—a key responsibility of every qualified filer."
SG01,Saw Guides,Dress and rebuild bandsaw guides,,"This competency covers the ability to rebuild worn or damaged saw guides—particularly babbitted guides—by removing old metal, repouring or reshaping, and finishing to correct clearance. A well-dressed guide maintains consistent blade support and prevents deflection or heat buildup during operation.","You strip the old babbitt from a guide block and re-pour fresh babbitt using a ladle, torch, and mold fixture.

You shape the guide face using a guide dresser or file until it matches specified tolerances.

You verify that the contact surfaces are flat and have correct top and side clearance to the blade.
","Worn or uneven guides allow the saw to flex, wander, or dish during cuts. A properly rebuilt guide ensures the saw remains true to its path, reducing vibration, heating, and lumber defects. Rebuilding instead of replacing also supports cost-effective maintenance and longer equipment life."
SG02,Saw Guides,Properly maintain guides and guide dresser,,,,
SG03,Saw Guides,Rebuild gang and edger saw guides,,,,
SG04,Saw Guides,Measure and test guide thickness and evenness,,,,
SG05,Saw Guides,Safe and proper handling of guides to maintain quality,,,,
SG06,Saw Guides,"Properly remove, pour and replace babbitt",,,,
KC01,Knives and Chippers,Demonstrate proper knife grinding and honing ,"• Grinding Setup and Angles
BC Saw Filer Level 1, Sections 8-2-6 to 8-2-8
• Honing Procedure and Edge Inspection
BC Saw Filer Level 1, Section 8-2-7
• Grinding Defects and Damage
BC Saw Filer Level 1, Sections 8-2-8 to 8-2-11","Knife grinding and honing are precision processes that directly affect chip quality, knife life, and chipper safety. Knives must be ground to the correct bevel angle, using the correct feed rate, coolant flow, and grinding wheel speed. Honing refines the cutting edge, removes wire burrs, and ensures clean shearing action.
Both steps are essential. Grinding without honing leads to premature edge failure. Honing without proper grinding produces weak, short-lived edges.","• You inspect and clean the knife before grinding:
•	Remove pitch or buildup with a fine oilstone
•	Check for cracks, wear, or bowing
• You secure the knife to the grinder:
•	Clamp knives 10–11"" apart using uniform pressure
•	Tilt the knife bar to the required bevel angle using a calibrated protractor
•	Even ½° of bevel error can reduce chip quality and overload the machine
📚 BC Saw Filer Level 1, Section 8-2-6
• You grind in light passes:
•	No more than 0.002"" per pass
•	Table feed speed: 60–80 FPM
•	Use constant coolant flow to avoid overheating
•	Monitor the knife face—blue tint or shiny finish = warning of heat damage
• You hone the knife after grinding:
•	Use medium then fine honing stones, lightly oiled
•	Apply a circular or figure-8 motion along the bevel
•	Remove all wire edges and check under light for a clean, straight edge
• You inspect and compare finished knives:
•	Verify the edge matches a known reference
•	Ensure no burrs, pits, or overheating marks are present","Incorrect knife grinding causes: • Burned edges that lose temper
• Bowed or chipped knives that vibrate or eject
• Uneven chip thickness and poor product quality
• Overload on motors and chipper disks
Skipping or rushing honing results in: • Wire edges that break off mid-cut
• Irregular chipping
• Damage to knife holders or anvils
Knife grinding is not just about sharpness—it’s about safety, uniformity, and chipper performance."
KC02,Knives and Chippers,Maintain knife grinding equipment ,"• Grinder Maintenance and Setup
BC Saw Filer Level 1, Sections 8-2-2 to 8-2-5
• Coolant System and Safety
BC Saw Filer Level 1, Section 8-2-2
• Wheel Dressing and Truing
BC Saw Filer Level 1, Sections 8-2-3 to 8-2-4","Grinders must be properly maintained to ensure even, accurate bevels and safe operation. Dull wheels, clogged coolant lines, or misaligned knife bars will damage knives—and can lead to serious injuries or equipment failure. You are responsible for the daily inspection, cleaning, and function testing of all knife grinding equipment.","• Before using the grinder:
•	You inspect wheel condition for cracks, glazing, or uneven wear
•	Perform a ring test on vitrified wheels to confirm integrity
•	Check that the wheel is trued and balanced
•	Confirm arbor flange tightness without overtorquing
📚 BC Saw Filer Level 1, Section 8-2-4
• You verify coolant system operation:
•	Flow is consistent and coolant level is adequate
•	Nozzles are aimed properly to cool the grinding zone
•	Coolant is mixed per manufacturer spec (usually 5–8% oil in water)
• You dress grinding wheels regularly:
•	Use a diamond dresser or abrasive stick to expose new grit
•	Watch for signs of glazing, loading, or grooving
• You inspect spindle and drive components:
•	Confirm no axial play or bearing vibration
•	Listen for motor strain or pulley misalignment
• You clean grinder tables, guards, and magnetic bars after each session:
•	Remove filings and dust
•	Wipe surfaces and covers
•	Oil components as needed for smooth movement","Grinders in poor condition cause: • Uneven bevels or overheating
• Chatter marks and knife cracks
• Incorrect clearance and knife projection
• Inconsistent chip thickness and overload on chipper motors
Improper wheel maintenance also risks: • Explosive failure of vitrified wheels
• Blade edge glazing
• Machine downtime and unsafe working conditions
Routine grinder maintenance = consistent, safe, and efficient knife performance."
KC03,Knives and Chippers,Set clearances and other required measurements ,"• Knife-to-Anvil Clearance and Adjustments
BC Saw Filer Level 1, Sections 8-1-8 to 8-1-9
• Knife Length and Projection
BC Saw Filer Level 1, Section 8-1-7
• Chipper Setup Checks
BC Saw Filer Level 1, Section 8-2-14","Clearances in chipper systems—especially between the knife edge and chipper anvil—must be set with precision to ensure clean shearing action, avoid overloading the disk, and maintain chip uniformity. Setting clearances also involves verifying knife projection, knife-to-knife length, and other critical measurements that affect chipper balance and performance.
This task demands proficiency with gauges, indicators, and manufacturer tolerances—applied consistently across every knife in the disk.","• You measure knife-to-anvil clearance using a feeler gauge or dial indicator:
•	For most machines, acceptable clearance ranges from 0.030""–0.060""
•	You rotate the disk slowly and check clearance at each knife position
📚 BC Saw Filer Level 1, Sections 8-1-8 to 8-1-9
• You measure knife projection (stick-out) using a projection gauge:
•	All knives in the disk must project equally
•	You adjust shims or backing screws to correct any offset
• You confirm knife length uniformity:
•	Use a micrometer or caliper to ensure length differences are <0.005""
•	Unequal lengths create imbalance, vibration, and poor chip quality
• You clean and inspect all knife pockets, holders, and chipper faces before measurement:
•	No debris, pitch, or corrosion can interfere with fit or reading accuracy
• You document and compare results against machine or mill specification sheets","Incorrect clearances and mismatched projection cause: • Imbalanced disk rotation and excessive wear on bearings
• Poor chip formation (oversize, slivers, or fines)
• Anvil and disk damage due to knife contact
• Higher vibration, noise, and safety risk from knife ejection or fracture
Chipper clearances are directly tied to mill chip uniformity, machine longevity, and personnel safety. They must be checked and set with the same discipline as any saw setup."
KC04,Knives and Chippers,Measure and set anvil clearances ,"• Anvil and Knife Setup Principles
BC Saw Filer Level 1, Sections 8-1-8 and 8-2-14
• Clearance Tools and Indicators
BC Saw Filer Level 1, Section 8-1-9","Anvil clearance refers to the distance between the cutting edge of the chipper knife and the face of the chipper anvil. This clearance must be measured precisely and adjusted using shims or set bolts. Inconsistent or incorrect anvil clearance affects chip size, causes knife fatigue, and can result in dangerous collisions between components.
This task ensures the chipper shears wood cleanly and efficiently, without overloading or damaging knives.","• You access the chipper with all lockout procedures applied
• You clean the anvil face and surrounding surfaces:
•	Remove all pitch, dust, or metal fragments
•	Verify the anvil face is flat and undamaged
• You rotate the disk slowly by hand and use a feeler gauge or dial indicator to measure the gap between the knife edge and the anvil:
•	Measure at several points across the knife edge
•	Record clearance values to check for taper or uneven spacing
• If adjustments are needed, you:
•	Add or remove shims behind the knife
•	Turn set screws to bring the knife into the correct plane
•	Repeat the measurement process to confirm consistency
• You verify that:
•	All knives have uniform clearance
•	The anvil face shows no scoring or wear lines that would affect future readings","Too little clearance causes: • Knife-to-anvil collisions
• Chipped knives and damaged anvils
• Catastrophic failure of knife holders
Too much clearance causes: • Inconsistent chip size (thick/fines mix)
• Overload on the cutting edge
• Vibration and strain on chipper drive systems
Proper anvil clearance is essential to chipper safety and chip quality—and must be maintained on every knife installation."
KC05,Knives and Chippers,Demonstrate understanding of runout ,"• Knife Runout Inspection
BC Saw Filer Level 1, Section 8-2-14
• Disk Condition and Balancing
BC Saw Filer Level 1, Section 8-1-9","Runout refers to the lateral (side-to-side) or axial (in-and-out) movement of a rotating part—in this case, the chipper disk or knife path. Excessive runout creates vibration, noise, uneven chip formation, and dangerous stress on knife mounts and machine bearings.
As a saw filer, you must understand how to detect, measure, and diagnose both types of runout using precision tools, and how runout affects knife clearance, projection, and chip quality.","• You lock out the chipper and rotate the disk slowly by hand
• You set up a dial indicator mounted to a fixed reference point (such as the chipper frame or mounting face):
•        For axial runout, place the indicator on the knife face or clamp
•        For lateral runout, place the indicator on the side of the disk or knife body
📚 BC Saw Filer Level 1, Section 8-2-14
• You record runout values by:
•        Zeroing the gauge
•        Rotating the disk one full revolution
•        Reading the total indicator movement (TIR – Total Indicator Reading)
• You compare values to acceptable tolerances (typically <0.005"" axial, <0.002"" lateral, unless otherwise specified by manufacturer)
• You inspect mounting surfaces:
•        Disk faces must be clean, smooth, and free of corrosion or warping
•        Knife holders must be seated evenly—no burrs, metal shavings, or missing hardware
• If runout exceeds tolerances, you:
•        Remove and re-seat knives or holders
•        Inspect and clean the disk hub, face, and mount bolts
•        Tag the machine for further service if structural issues (e.g., warped disk) are suspected
Other examples can be shafts, sharpener arbor, etc.","Unchecked runout causes: • Knife-to-anvil misalignment
• Uneven chip thickness and poor product recovery
• Vibration that damages knife bolts, clamps, or disk faces
• Knife cracking and potential ejection during operation
• Long-term damage to chipper bearings and housings
Runout affects everything from knife safety to chip uniformity. Every filer must treat runout as a critical inspection point—not a minor defect."
CS01,Circular Saws,Evaluate saws for repairability ,"• Crack and Damage Limits
BC Saw Filer Level 1, Sections 9-1-1 to 9-1-2
• Saw Retirement and Collar Zone Inspection
BC Saw Filer Level 1, Section 2-2-1","Every circular saw must be evaluated before service to determine if it can be safely repaired or if it must be permanently removed. This evaluation includes inspecting the plate, teeth, gullets, collar line, eye, and tension ring. Saw repairability depends on meeting strict visual and dimensional tolerances—especially for crack length, plate damage, and eye elongation.
You are expected to perform this inspection independently and decide based on objective criteria—not just “appearance.”","• You inspect the saw visually and with proper lighting:
•	Use backlighting or a flashlight under the plate to reveal dish, warp, or hairline cracks
•	Focus inspection around:
o	Gullets (stress points)
o	Collar line (common failure zone)
o	Eye and bolt holes (look for elongation or ovaling)
• You use dye penetrant or marking fluid if needed to locate fine cracks
• You check for:
•	Cracks exceeding allowable lengths
o	For example: in a 24–36"" saw, a crack longer than 1½"" in the collar zone requires removal from service
•	Warping or twist exceeding flatness spec (e.g. >0.006"" runout is usually unacceptable)
•	Tension ring failure, missing drop, or visible tension imbalance
•	Eye elongation that prevents secure arbor fit
• You reference WorkSafeBC Table 27-1 or shop-specific repairability criteria
• You record your findings in the shop log or tag the saw accordingly:
•	""Serviceable""
•	""Send for weld and rebench""
•	""Scrap—exceeds safe limit""","A damaged circular saw running at high RPM can: • Explode due to plate failure
• Throw a tooth, clamp, or gullet segment
• Cause severe personal injury or death
• Lead to equipment damage, lumber defects, and unexpected downtime
This inspection is the first line of defense. If a saw goes back into service with hidden damage, it can fail catastrophically."
CS02,Circular Saws,Replace teeth as needed ,"• ITCO Tooth Removal and Insertion
BC Saw Filer Level 2, Section 4-2-3
• Bit and Shank Replacement
BC Saw Filer Level 2, Sections 4-1-9 to 4-1-11","🔧 What this means:
Circular saw teeth wear over time from heat, abrasion, and impact. Depending on saw design, teeth may be bit-and-shank, inserted tooth (ITCO), or welded solid tip. Replacing worn or broken teeth involves safely removing the damaged part, cleaning the seating surface, and securing the new component with the correct tools and technique.
Tooth replacement requires careful alignment, correct seating, and the proper fit. Misaligned teeth can crack saw plates or fly off during operation.","• For Inserted Tooth (ITCO) saws:
•	Use a brass punch to drive out the old tooth
•	Clean the V-slot with a wire brush
•	Insert the correct left-hand or right-hand replacement tooth
•	Secure the new tooth with pins, rivets, or drive wedges, as required
📚 BC Saw Filer Level 2, Section 4-2-3
• For Bit and Shank saws:
•	Use a removal wrench to back out the worn shank
•	Clean debris and carbon from the bore
•	Insert the replacement bit and shank, ensuring light friction fit
•	Final-seat using a hammer and dolly, with care to avoid over-tightening
• During replacement:
•	You inspect tooth seating for gaps, twist, or over-insertion
•	Use a template or gauge to verify tooth height and projection match across the saw
•	You replace only with OEM or approved replacement teeth
• After all replacements:
•	You rotate the saw to check for interference, runout, or seating error
•	You mark and log which teeth were changed and the reason","Poor tooth replacement causes: • Tooth ejection under RPM
• Vibration, imbalance, and tracking failure
• Misalignment that damages the plate, gullets, or collar
Teeth are not just cutting edges—they are part of the saw’s balance system. Precision in installation is essential for safe, long-running saws."
CS03,Circular Saws,Properly weld and repair cracks ,"• Crack Welding and Annealing
BC Saw Filer Level 1, Sections 9-7-3 to 9-7-6
• Filler Metal and Torch Technique
BC Saw Filer Level 1, Section 9-5-4 to 9-5-5","When a saw develops cracks within allowable limits, it may be weld-repaired instead of being scrapped. You are expected to follow strict procedures for crack preparation, welding technique, filler selection, and post-weld treatment (annealing and peening) to ensure structural integrity is restored without introducing new stress.
Crack welding is not just a fabrication task—it’s a precision repair process that affects the saw’s strength, tension, and safety at full speed.","• You inspect the saw and identify all cracks:
•	Most cracks are located in gullets, collar zones, or plate edge
•	Cracks are marked, and any longer than spec (e.g. 1½"" in collar zone) disqualify the saw from repair
📚 BC Saw Filer Level 1, Section 2-2-1
• You prepare the crack:
•	Drill a stress relief hole (1/8""–3/16"") at the end of the crack to stop propagation
•	Bevel the crack edges using a small grinder or file (torch prep if required)
• You select the correct welding method:
•	Use MIG, TIG, or oxy-acetylene, depending on saw thickness and shop standard
•	Choose correct filler: e.g., ER 70S-6 for MIG; high-carbon rod for oxy-acetylene
•	Maintain a neutral flame or low-voltage arc to avoid over-hardening
• You control heat during the weld:
•	Use short weld segments to reduce heat input
•	Preheat saw to 300–400°F if required to reduce hardening risk
•	After welding, perform annealing:
o	Bring the welded area to straw-to-blue color (~850–1200°F) twice
o	Use temperature crayons or a color chart to confirm
• After cooling:
•	Grind the weld flush with the saw plate
•	Inspect for porosity, shrinkage, or distortion
•	Peen the weld lightly on an anvil to relieve internal stress
•	Check for restored flatness and balance during benching","Improper crack repair can lead to: • Rapid crack propagation and catastrophic failure
• Welds that are too brittle or too soft
• Loss of saw tension and tracking
• Safety hazards from undetected heat zones or hard spots
Proper welding restores the saw’s structure while preserving critical characteristics like tension, balance, and gullet spacing. It must be done with maximum precision and post-weld verification."
